Molecule Name,IC50 (Num),IC50 (Mod),Hill (Num),Minh_pIC50 (Num)
ASAP-0010740,23,=,2.684,5.49
ASAP-0010740,15.791,=,2.074,5.49
ASAP-0010738,6.83,=,2.889,5.92
ASAP-0010736,14.606,=,2.384,5.42
ASAP-0010736,17.595,=,2.593,5.42
ASAP-0010735,99.5,>,1.121,5.03
ASAP-0010734,11.409,=,1.805,5.89
ASAP-0010734,16.785,=,1.604,5.89
ASAP-0010726,80.025,=,0.5,5.09
ASAP-0010726,5.901,=,2.743,5.09
ASAP-0010725,22.615,=,2.709,5.28
ASAP-0010725,23.829,=,2.756,5.28
ASAP-0010724,99.5,>,,4.77
ASAP-0010724,96.49,=,2.142,4.77
ASAP-0010724,5.341,=,0.948,4.77
ASAP-0010724,4.672,=,1.509,4.77
ASAP-0010722,22.599,=,3.093,5.06
ASAP-0010722,27.022,=,4.141,5.06
ASAP-0010721,87.909,=,1.413,4.79
ASAP-0010721,33.872,=,0.605,4.79
ASAP-0010721,9.968,=,0.5,4.79
ASAP-0010721,4.274,=,0.969,4.79
ASAP-0010719,99.5,>,,4.44
ASAP-0010719,99.5,>,2.627,4.44
ASAP-0010719,12.278,=,1.141,4.44
ASAP-0010719,8.085,=,1.325,4.44
ASAP-0010714,19.955,=,2.34,5.4
ASAP-0010714,22.184,=,3.034,5.4
ASAP-0010713,99.5,>,,
ASAP-0010712,9.911,=,2.705,5.65
ASAP-0010712,17.451,=,2.335,5.65
ASAP-0010711,8.659,=,2.885,5.73
ASAP-0010711,11.31,=,2.765,5.73
ASAP-0008681,32.416,=,3.195,4.95
ASAP-0008680,99.5,>,,4.69
ASAP-0008677,99.5,>,,3.88
ASAP-0008675,13.551,=,2.815,5.48
ASAP-0008672,11.791,=,2.904,5.68
ASAP-0008671,33.323,=,3.106,5.11
ASAP-0008669,19.166,=,2.369,5.52
ASAP-0008667,94.83,=,4.065,4.52
ASAP-0008665,7.72,=,3.08,5.96
ASAP-0008663,99.5,>,,4.74
ASAP-0008661,53.045,=,3.581,4.73
ASAP-0008659,99.5,>,,5.44
ASAP-0008653,9.605,=,3.048,5.67
ASAP-0008652,99.5,>,,4.46
ASAP-0008642,15.148,=,2.69,5.36
ASAP-0008639,17.132,=,2.542,5.5
ASAP-0008638,99.5,>,,4.21
ASAP-0008636,78.462,=,2.66,4.72
ASAP-0008635,99.5,>,,4.21
ASAP-0008634,24.032,=,3.865,5.14
ASAP-0008632,99.5,>,,4.33
ASAP-0008631,41.128,=,3.443,4.92
ASAP-0008629,13.534,=,2.747,5.59
ASAP-0008628,99.5,>,,4
ASAP-0008627,37.523,=,3.163,4.81
ASAP-0008626,99.5,>,,4.67
ASAP-0008625,99.5,>,,4.25
ASAP-0008624,99.5,>,,4.29
ASAP-0008612,99.5,>,,4.34
ASAP-0008611,99.5,>,,4.25
ASAP-0008609,79.71,=,3.423,4.65
ASAP-0008606,21.754,=,3.306,5.24
ASAP-0008605,30.311,=,3.046,5.02
ASAP-0008603,99.5,>,,4.79
ASAP-0008601,99.5,>,,4.25
ASAP-0008599,64.677,=,3.326,4.62
ASAP-0008597,99.5,>,,4.24
ASAP-0008595,19.857,=,2.92,5.38
ASAP-0008593,99.5,>,,4.26
ASAP-0008591,99.5,>,,4.43
ASAP-0008588,94.275,=,4.153,4.48
ASAP-0008586,99.5,>,,4.23
ASAP-0008585,99.5,>,,3.83
ASAP-0008502,5.355,=,2.165,6.2
ASAP-0008501,99.5,>,,4.28
ASAP-0008499,,,,5.59
ASAP-0008499,99.5,>,,5.59
ASAP-0008497,99.5,>,,4.31
ASAP-0008495,99.5,>,,4.34
ASAP-0008493,95.02,=,4.168,4.45
ASAP-0008492,90.17,=,4.008,4.48
ASAP-0008489,5.961,=,2.703,5.92
ASAP-0008488,15.745,=,2.492,5.55
ASAP-0008486,99.5,>,,4.24
ASAP-0008483,99.5,>,,4.52
ASAP-0008481,99.5,>,,4.23
ASAP-0008479,3.233,=,2.637,6.2
ASAP-0008477,99.5,>,,4.33
ASAP-0008475,58.487,=,1.856,5.01
ASAP-0008473,99.5,>,,4.29
ASAP-0008472,99.5,>,,4.28
ASAP-0008470,99.5,>,0.913,4.2
ASAP-0008466,0.396,>,,4.77
ASAP-0008466,48.613,=,3.218,4.77
ASAP-0008462,99.5,>,,3.98
ASAP-0008461,99.5,>,4.18,4.11
ASAP-0008460,99.5,>,15.232,4.17
ASAP-0008459,99.5,>,6.435,7.36
ASAP-0008457,99.5,>,,4.22
ASAP-0008456,99.5,>,,3.49
ASAP-0008455,99.5,>,,4.01
ASAP-0008454,99.5,>,,4.21
ASAP-0008453,99.5,>,2.884,4.58
ASAP-0008452,19.541,=,2.698,5.42
ASAP-0008451,10.975,=,2.954,5.69
ASAP-0008448,99.5,>,,4.27
ASAP-0008442,28.266,=,3.437,5.12
ASAP-0008441,99.5,>,,4.28
ASAP-0008440,99.5,>,,3.51
ASAP-0008439,46.052,=,3.578,4.79
ASAP-0008436,99.5,>,,3.97
ASAP-0008434,99.5,>,,4.15
ASAP-0008433,39.187,=,2.913,5.04
ASAP-0008432,99.5,>,,4.85
ASAP-0008429,99.5,>,0.725,4.27
ASAP-0008428,99.5,>,,3.58
ASAP-0008427,22.723,=,1.839,4.49
ASAP-0008425,99.5,>,0.5,6.61
ASAP-0008424,99.5,>,0.552,4.1
ASAP-0008420,9.419,=,2.952,5.68
ASAP-0008415,99.5,>,,5.24
ASAP-0008412,99.5,>,,4.28
ASAP-0008411,18.896,=,2.901,5.4
ASAP-0008410,99.5,>,,3.87
ASAP-0008409,38.648,=,2.6,4.89
ASAP-0008408,36.47,=,2.684,5.02
ASAP-0008405,22.997,=,3.14,5.2
ASAP-0008404,31.231,=,3.282,5.05
ASAP-0008402,99.5,>,,4.31
ASAP-0008401,12.084,=,2.095,5.89
ASAP-0008394,99.5,>,,4.62
ASAP-0008393,18.213,=,2.699,5.36
ASAP-0008392,40.962,=,3.166,4.94
ASAP-0008388,24.598,=,2.77,5.36
ASAP-0008387,99.5,>,,4.75
ASAP-0008386,99.5,>,,4.33
ASAP-0008385,99.5,>,0.5,4.75
ASAP-0008384,99.5,>,,4.27
ASAP-0008383,99.5,>,,4.08
ASAP-0008382,99.5,>,,4.3
ASAP-0008381,99.5,>,,4.18
ASAP-0008376,99.5,>,,4.76
ASAP-0008375,99.5,>,,4.42
ASAP-0008374,10.004,=,3.231,5.72
ASAP-0008373,21.392,=,3.425,5.26
ASAP-0008372,99.5,>,,3.61
ASAP-0008371,99.5,>,,4.44
ASAP-0008370,99.5,>,,3.9
ASAP-0008369,99.5,>,,4.73
ASAP-0008368,99.5,>,,3.96
ASAP-0008367,99.5,>,,4.4
ASAP-0008366,99.5,>,,4.74
ASAP-0008365,99.5,>,,4.68
ASAP-0008364,25.016,=,3.604,5.16
ASAP-0008363,99.5,>,,4.12
ASAP-0008362,99.5,>,,4.79
ASAP-0008361,99.5,>,,4.95
ASAP-0008360,99.5,>,,4.32
ASAP-0008359,10.005,=,2.11,5.69
ASAP-0008358,99.5,>,,4.38
ASAP-0008357,99.5,>,,4.27
ASAP-0008356,99.5,>,,4.73
ASAP-0008333,99.5,>,,4.68
ASAP-0008332,99.5,>,,4.5
ASAP-0008331,92.852,=,2.354,4.25
ASAP-0008330,19.598,=,2.833,5.42
ASAP-0008329,99.5,>,,4.52
ASAP-0008316,99.5,>,,4.28
ASAP-0008315,12.535,=,1.941,5.05
ASAP-0008314,10.102,=,3.062,5.69
ASAP-0008313,99.5,>,,4.13
ASAP-0008285,21.568,=,3.478,4.86
ASAP-0008284,99.5,>,2.659,4.17
ASAP-0008283,99.5,>,,3.99
ASAP-0008282,99.5,>,,4.94
ASAP-0008269,99.5,>,,4.7
ASAP-0008268,99.5,>,,
ASAP-0008267,99.5,>,,4.25
ASAP-0008266,99.5,>,,4.44
ASAP-0008265,99.5,>,,3.7
ASAP-0008264,99.5,>,,4.37
ASAP-0008261,99.5,>,,4.28
ASAP-0008260,99.5,>,,
ASAP-0008259,2.662,=,2.496,6.34
ASAP-0008259,1.92,=,2.948,6.34
ASAP-0008258,1.993,=,2.518,6.39
ASAP-0008258,1.522,=,3.066,6.39
ASAP-0008257,99.5,>,,4.22
ASAP-0008256,99.5,>,,4.29
ASAP-0008255,99.5,>,,4.91
ASAP-0008254,99.5,>,,
ASAP-0008253,99.5,>,,3.84
ASAP-0008252,99.5,>,,4.31
ASAP-0008251,99.5,>,,4.37
ASAP-0008250,99.5,>,,4.25
ASAP-0008249,99.5,>,,4.21
ASAP-0008248,99.5,>,,19.9
ASAP-0008247,99.5,>,,4.16
ASAP-0008246,99.5,>,,4.2
ASAP-0008245,99.5,>,,4.76
ASAP-0008244,99.5,>,,4.18
ASAP-0000864,99.5,>,,4.21
ASAP-0000863,99.5,>,,4.52
ASAP-0000862,99.5,>,,3.92
ASAP-0000861,99.5,>,,4.18
ASAP-0000860,99.5,>,,4.15
ASAP-0000859,99.5,>,,4.5
ASAP-0000858,99.5,>,,3.65
ASAP-0000857,99.5,>,,4.3
ASAP-0000856,99.5,>,,4.5
ASAP-0000855,99.5,>,,4.31
ASAP-0000854,99.5,>,,
ASAP-0000853,99.5,>,,5.13
ASAP-0000852,99.5,>,,4
ASAP-0000851,99.5,>,,4.21
ASAP-0000850,99.5,>,,4.33
ASAP-0000849,99.5,>,,4.24
ASAP-0000848,99.5,>,,4.12
ASAP-0000847,99.5,>,,4.48
ASAP-0000846,99.5,>,,4.06
ASAP-0000845,99.5,>,,4.21
ASAP-0000844,99.5,>,,4.17
ASAP-0000843,99.5,>,,4.35
ASAP-0000842,99.5,>,,4.33
ASAP-0000841,99.5,>,,4.17
ASAP-0000840,99.5,>,,3.82
ASAP-0000839,99.5,>,,4.15
ASAP-0000838,99.5,>,,3.61
ASAP-0000837,99.5,>,,4.47
ASAP-0000836,99.5,>,,3.9
ASAP-0000835,99.5,>,,4.23
ASAP-0000834,99.5,>,,4.26
ASAP-0000833,99.5,>,,4.37
ASAP-0000832,99.5,>,,4.52
ASAP-0000831,99.5,>,,4.27
ASAP-0000830,99.5,>,,4.19
ASAP-0000829,99.5,>,,4.29
ASAP-0000828,99.5,>,,7.33
ASAP-0000827,99.5,>,,6.25
ASAP-0000826,99.5,>,,
ASAP-0000825,99.5,>,,3.76
ASAP-0000824,99.5,>,,3.58
ASAP-0000823,99.5,>,,4.39
ASAP-0000822,99.5,>,,4.36
ASAP-0000821,99.5,>,,4.08
ASAP-0000820,99.5,>,,4.25
ASAP-0000819,99.5,>,,4.96
ASAP-0000818,99.5,>,,4.21
ASAP-0000817,99.5,>,,4.23
ASAP-0000816,99.5,>,,7.88
ASAP-0000815,99.5,>,,4.38
ASAP-0000814,99.5,>,,
ASAP-0000813,99.5,>,,4.3
ASAP-0000812,99.5,>,,5.23
ASAP-0000811,99.5,>,,4.32
ASAP-0000810,99.5,>,,4.3
ASAP-0000809,99.5,>,,3.66
ASAP-0000808,99.5,>,,3.42
ASAP-0000807,99.5,>,,4.45
ASAP-0000806,99.5,>,,4.24
ASAP-0000805,99.5,>,,4.26
ASAP-0000804,99.5,>,,
ASAP-0000803,99.5,>,,4.19
ASAP-0000802,99.5,>,,4.1
ASAP-0000801,24.22,=,3.013,5.25
ASAP-0000800,99.5,>,,4.29
ASAP-0000799,99.5,>,,3.84
ASAP-0000798,99.5,>,,4.3
ASAP-0000797,99.5,>,,
ASAP-0000796,99.5,>,,4.05
ASAP-0000795,99.5,>,,3.85
ASAP-0000794,99.5,>,,4.16
ASAP-0000775,6.941,=,3.333,6.02
ASAP-0000774,6.188,=,4.411,5.88
ASAP-0000773,27.752,=,4.053,5.08
ASAP-0000772,99.5,>,1.537,4.11
ASAP-0000771,99.5,>,0.863,4.73
ASAP-0000738,,,,5.98
ASAP-0000738,6.672,=,4.048,5.98
ASAP-0000737,99.5,>,,4.15
ASAP-0000735,99.5,>,,4.52
ASAP-0000734,16.186,=,2.809,5.35
ASAP-0000733,0.917,=,3.216,6.69
ASAP-0000733,1.243,=,2.675,6.69
ASAP-0000732,99.5,>,,4.63
ASAP-0000731,99.5,>,,4.88
ASAP-0000730,99.5,>,,4.81
ASAP-0000729,99.5,>,,5
ASAP-0000728,99.5,>,,4.6
ASAP-0000727,99.5,>,,5.63
ASAP-0000726,99.5,>,,4.31
ASAP-0000725,99.5,>,,4.53
ASAP-0000724,99.5,>,,4.35
ASAP-0000723,99.5,>,,5.34
ASAP-0000722,99.5,>,,-14.3
ASAP-0000721,99.5,>,,4.27
ASAP-0000720,99.5,>,,4.62
ASAP-0000719,99.5,>,,4.1
ASAP-0000718,99.5,>,,5.29
ASAP-0000717,99.5,>,,4.54
ASAP-0000716,99.5,>,,4.44
ASAP-0000715,99.5,>,,4.77
ASAP-0000714,99.5,>,,2.43
ASAP-0000713,99.5,>,,3.95
ASAP-0000712,99.5,>,,1.3
ASAP-0000711,99.5,>,,4.95
ASAP-0000710,99.5,>,,4.58
ASAP-0000658,99.5,>,,4.16
ASAP-0000657,99.5,>,,3.95
ASAP-0000656,99.5,>,,3.88
ASAP-0000655,99.5,>,,3.84
ASAP-0000654,0.995,=,3.16,6.6
ASAP-0000654,1.865,=,3.394,6.6
ASAP-0000653,99.5,>,,4.18
ASAP-0000652,28.679,=,3.136,5.12
ASAP-0000651,36.678,=,3.401,5.02
ASAP-0000650,99.5,>,,5.36
ASAP-0000649,99.5,>,,5.01
ASAP-0000648,99.5,>,,5.35
ASAP-0000647,99.5,>,,3.78
ASAP-0000646,99.5,>,,5.33
ASAP-0000645,99.5,>,,4.38
ASAP-0000644,99.5,>,-3.312,4.38
ASAP-0000643,99.5,>,,5.03
ASAP-0000642,99.5,>,,5.06
ASAP-0000641,99.5,>,,4.74
ASAP-0000640,99.5,>,,3.8
ASAP-0000638,99.5,>,,
ASAP-0000637,99.5,>,,4.18
ASAP-0000581,99.5,>,,4.31
ASAP-0000580,,,,5.87
ASAP-0000580,6.161,=,4.057,5.87
ASAP-0000579,99.5,>,,4.67
ASAP-0000578,99.5,>,,4.34
ASAP-0000577,26.483,=,2.446,5.4
ASAP-0000576,99.5,>,,4.3
ASAP-0000575,99.5,>,,4.32
ASAP-0000574,99.5,>,,4.46
ASAP-0000573,87.979,=,1.639,4.32
ASAP-0000544,99.5,>,,3.94
ASAP-0000543,99.5,>,,3.58
ASAP-0000542,70.31,=,3.141,4.74
ASAP-0000541,8.077,=,3.094,5.81
ASAP-0000540,99.5,>,,
ASAP-0000539,99.5,>,,4.34
ASAP-0000538,99.5,>,,5.23
ASAP-0000537,99.5,>,0.5,4.19
ASAP-0000536,99.5,>,,4.43
ASAP-0000535,99.5,>,,4.76
ASAP-0000534,99.5,>,,4.2
ASAP-0000533,99.5,>,,4.31
ASAP-0000532,99.5,>,,
ASAP-0000531,99.5,>,,4.44
ASAP-0000530,99.5,>,,4.33
ASAP-0000529,99.5,>,,4.34
ASAP-0000528,8.58,=,3.142,5.8
ASAP-0000527,99.5,>,,4.36
ASAP-0000526,6.192,=,3.022,5.98
ASAP-0000525,99.5,>,,4.36
ASAP-0000524,99.5,>,,3.85
ASAP-0000523,18.271,=,3.014,5.36
ASAP-0000522,99.5,>,,4.87
ASAP-0000521,99.5,>,,4.72
ASAP-0000520,99.5,>,,4.39
ASAP-0000519,99.5,>,,4.58
ASAP-0000518,99.5,>,,4.02
ASAP-0000517,99.5,>,,5.08
ASAP-0000516,99.5,>,,4.26
ASAP-0000515,99.5,>,,4.25
ASAP-0000514,99.5,>,,5.21
ASAP-0000492,70.88,=,2.057,4.25
ASAP-0000485,99.5,>,,4.31
ASAP-0000484,99.5,>,,4.54
ASAP-0000483,99.5,>,,3.87
ASAP-0000447,97.469,=,2.434,4.85
ASAP-0000447,99.5,>,,4.85
ASAP-0000446,99.5,>,,4.22
ASAP-0000445,99.5,>,,4.55
ASAP-0000444,99.5,>,,5.05
ASAP-0000443,99.5,>,,4.12
ASAP-0000442,99.5,>,,4.28
ASAP-0000441,99.5,>,,4.28
ASAP-0000440,99.5,>,,4.27
ASAP-0000439,99.5,>,,4.09
ASAP-0000438,99.5,>,,4.38
ASAP-0000437,38.351,=,3.184,5.01
ASAP-0000436,99.5,>,,4.28
ASAP-0000435,99.5,>,,4.75
ASAP-0000434,99.5,>,,4.13
ASAP-0000433,99.5,>,,4.3
ASAP-0000432,99.5,>,,4.18
ASAP-0000431,99.5,>,,4.36
ASAP-0000379,99.5,>,,4.02
ASAP-0000378,99.5,>,,4.3
ASAP-0000377,99.5,>,,4.23
ASAP-0000376,99.5,>,,4.25
ASAP-0000375,1.208,=,2.667,6.39
ASAP-0000375,2.509,=,4.082,6.39
ASAP-0000374,8.219,=,3.691,5.88
ASAP-0000373,2.669,=,5.041,6.22
ASAP-0000372,3.354,=,2.215,5.76
ASAP-0000362,99.5,>,,5.01
ASAP-0000275,99.5,>,,4.13
ASAP-0000274,99.5,>,,4.26
ASAP-0000273,99.5,>,,3.96
ASAP-0000272,1.173,=,2.822,6.47
ASAP-0000272,2.531,=,3.303,6.47
ASAP-0000271,99.5,>,,4.31
ASAP-0000270,99.5,>,,4.52
ASAP-0000269,99.5,>,,4.94
ASAP-0000256,99.5,>,,
ASAP-0000241,99.5,>,,4.71
ASAP-0000240,99.5,>,,4.23
ASAP-0000239,99.5,>,,4.28
ASAP-0000238,99.5,>,,4.41
ASAP-0000237,99.5,>,,4.27
ASAP-0000236,99.5,>,,4.24
ASAP-0000235,99.5,>,,4.3
ASAP-0000234,99.5,>,,4.2
ASAP-0000233,99.5,>,,4.25
ASAP-0000232,99.5,>,,4.22
ASAP-0000231,99.5,>,,4.21
ASAP-0000230,99.5,>,,4.29
ASAP-0000229,99.5,>,,3.95
ASAP-0000228,99.5,>,,4.23
ASAP-0000227,7.709,=,3.274,5.8
ASAP-0000226,9.95,>,,5.45
ASAP-0000226,21.204,=,3.497,5.45
ASAP-0000225,99.5,>,,5.77
ASAP-0000224,99.5,>,,5.69
ASAP-0000223,6.847,=,4.726,5.79
ASAP-0000222,6.11,=,5.364,5.96
ASAP-0000221,10.721,=,3.379,5.67
ASAP-0000220,6.608,=,4.974,5.87
ASAP-0000219,9.95,>,,5.64
ASAP-0000219,19.388,=,2.194,5.64
ASAP-0000218,9.95,>,,6.02
ASAP-0000218,99.5,>,,6.02
ASAP-0000217,6.552,=,4.801,5.78
ASAP-0000216,5.391,=,3.77,6.04
ASAP-0000215,7.612,=,2.249,6.03
ASAP-0000214,16.046,=,3.465,5.28
ASAP-0000213,99.5,>,,5.8
ASAP-0000212,6.692,=,2.798,6.04
ASAP-0000211,5.857,=,2.92,5.99
ASAP-0000210,99.5,>,,5.68
ASAP-0000209,99.5,>,,5.64
ASAP-0000208,8.476,=,3.446,5.65
ASAP-0000207,9.044,=,3.691,5.72
ASAP-0000206,99.5,>,,5.26
ASAP-0000205,6.226,=,5.361,5.95
ASAP-0000204,4.975,>,,5.75
ASAP-0000204,99.5,>,,5.75
ASAP-0000187,99.5,>,,3.94
ASAP-0000186,99.5,>,,4.28
ASAP-0000185,37.979,=,3.75,5.02
ASAP-0000184,99.5,>,,5.11
ASAP-0000183,99.5,>,,4.76
ASAP-0000182,99.5,>,,4.34
ASAP-0000181,99.5,>,,4.69
ASAP-0000180,99.5,>,,4.57
ASAP-0000179,99.5,>,,4.29
ASAP-0000178,99.5,>,,4.26
ASAP-0000176,99.5,>,,5.16
ASAP-0000176,9.99,>,,5.16
ASAP-0000175,12.44,<,0.86,5.52
ASAP-0000175,1.936,=,3.539,5.52
ASAP-0000174,99.5,>,,4.06
ASAP-0000174,9.99,>,,4.06
ASAP-0000173,15.791,=,1.161,5.18
ASAP-0000173,9.99,>,,5.18
ASAP-0000172,99.5,>,,4.68
ASAP-0000172,9.99,>,,4.68
ASAP-0000171,40.502,=,1.711,5.04
ASAP-0000171,9.99,>,,5.04
ASAP-0000170,99.5,>,,5.04
ASAP-0000170,9.99,>,,5.04
ASAP-0000169,,,,5.22
ASAP-0000169,9.99,>,,5.22
ASAP-0000168,,,,5.36
ASAP-0000168,9.99,>,,5.36
ASAP-0000167,12.44,<,0.769,5.32
ASAP-0000167,9.99,>,,5.32
ASAP-0000166,99.5,>,,5.26
ASAP-0000166,9.99,>,,5.26
ASAP-0000165,99.5,>,,4.99
ASAP-0000165,9.99,>,,4.99
ASAP-0000164,12.44,<,0.558,5.27
ASAP-0000164,9.99,>,,5.27
ASAP-0000163,9.95,>,,5.22
ASAP-0000163,99.5,>,1.15,5.22
ASAP-0000163,9.99,>,,5.22
ASAP-0000162,9.95,>,,5.52
ASAP-0000162,,,,5.52
ASAP-0000162,9.99,>,,5.52
ASAP-0000161,,,,5.38
ASAP-0000161,9.99,>,,5.38
ASAP-0000160,,,,5.4
ASAP-0000160,9.99,>,,5.4
ASAP-0000159,99.5,>,,5.31
ASAP-0000159,9.99,>,,5.31
ASAP-0000158,,,,5.45
ASAP-0000158,9.99,>,,5.45
ASAP-0000157,12.44,<,0.5,5.37
ASAP-0000157,9.99,>,,5.37
ASAP-0000156,38.082,=,2.227,5.05
ASAP-0000156,9.99,>,,5.05
ASAP-0000155,,,,4.84
ASAP-0000155,9.99,>,,4.84
ASAP-0000154,99.5,>,,4.99
ASAP-0000154,9.99,>,,4.99
ASAP-0000153,2.124,=,1.965,6.5
ASAP-0000153,1.403,=,2.052,6.5
ASAP-0000153,4.862,=,1.855,6.5
ASAP-0000153,3.232,=,2.017,6.5
ASAP-0000153,2.464,=,1.799,6.5
ASAP-0000153,2.214,=,2.584,6.5
ASAP-0000153,2.467,=,25.153,6.5
ASAP-0000153,,,,6.5
ASAP-0000153,2.758,=,2.47,6.5
ASAP-0000153,1.72,=,2.305,6.5
ASAP-0000153,1.545,=,2.233,6.5
ASAP-0000153,1.58,=,2.365,6.5
ASAP-0000153,1.531,=,2.492,6.5
ASAP-0000153,2,=,2.52,6.5
ASAP-0000153,2.456,=,2.972,6.5
ASAP-0000153,1.298,=,2.311,6.5
ASAP-0000153,1.274,=,2.08,6.5
ASAP-0000153,1.366,=,2.196,6.5
ASAP-0000153,1.039,=,2.047,6.5
ASAP-0000153,2.012,=,2.333,6.5
ASAP-0000153,2.386,=,2.455,6.5
ASAP-0000153,5.503,=,1.892,6.5
ASAP-0000153,2.199,=,2.715,6.5
ASAP-0000153,2.281,=,2.669,6.5
ASAP-0000153,2.416,=,3.144,6.5
ASAP-0000153,2.631,=,2.879,6.5
ASAP-0000153,1.917,=,2.712,6.5
ASAP-0000153,0.396,>,,6.5
ASAP-0000153,0.1,>,,6.5
ASAP-0000153,2.382,=,2.961,6.5
ASAP-0000153,2.716,=,3.775,6.5
ASAP-0000153,2.341,=,2.811,6.5
ASAP-0000153,3.985,=,2.035,6.5
ASAP-0000153,,,,6.5
ASAP-0000153,1.424,=,2.587,6.5
ASAP-0000153,1.49,=,1.851,6.5
ASAP-0000153,1.949,=,2.652,6.5
ASAP-0000153,1.564,=,2.312,6.5
ASAP-0000153,1.653,=,2.097,6.5
ASAP-0000153,0.918,=,2.291,6.5
ASAP-0000153,1.492,=,2.584,6.5
ASAP-0000153,1.937,=,2.667,6.5
ASAP-0000153,2.185,=,2.836,6.5
ASAP-0000153,2.776,=,2.389,6.5
ASAP-0000153,1.227,=,2.34,6.5
ASAP-0000153,2.39,=,2.52,6.5
ASAP-0000153,1.716,=,2.432,6.5
ASAP-0000153,2.062,=,2.519,6.5
ASAP-0000153,3.847,=,2.056,6.5
ASAP-0000153,2.248,=,2.426,6.5
ASAP-0000153,4.673,=,2.104,6.5
ASAP-0000153,5.272,=,2.072,6.5
ASAP-0000153,2.101,=,2.667,6.5
ASAP-0000153,2.659,=,2.375,6.5
ASAP-0000153,2.762,=,2.29,6.5
ASAP-0000153,3.075,=,2.689,6.5
ASAP-0000153,1.929,=,2.517,6.5
ASAP-0000153,2.202,=,2.302,6.5
ASAP-0000153,6.362,=,2.722,6.5
ASAP-0000153,5.43,=,2.912,6.5
ASAP-0000153,3.183,=,2.242,6.5
ASAP-0000153,2.388,=,3.307,6.5
ASAP-0000153,3.624,=,2.241,6.5
ASAP-0000153,12.44,<,0.675,6.5
ASAP-0000153,2.037,=,3,6.5
ASAP-0000152,99.5,>,,4.8
ASAP-0000152,9.99,>,,4.8
ASAP-0000151,99.5,>,,4.69
ASAP-0000151,9.99,>,,4.69
ASAP-0000150,99.5,>,,4.84
ASAP-0000150,9.99,>,,4.84
ASAP-0000149,99.5,>,,8.16
ASAP-0000149,9.99,>,,8.16
ASAP-0000148,99.5,>,,4.54
ASAP-0000148,9.99,>,,4.54
ASAP-0000147,99.5,>,,4.81
ASAP-0000147,9.99,>,,4.81
ASAP-0000146,99.5,>,,4.88
ASAP-0000146,9.99,>,,4.88
ASAP-0000145,,,,4.81
ASAP-0000145,9.99,>,,4.81
ASAP-0000144,,,,4.9
ASAP-0000144,9.99,>,,4.9
ASAP-0000143,99.5,>,,4.73
ASAP-0000143,9.99,>,,4.73
ASAP-0000142,99.5,>,,4.92
ASAP-0000142,9.99,>,,4.92
ASAP-0000141,99.5,>,,4.19
ASAP-0000141,9.99,>,,4.19